local_id,neo4j_id,label,labels,props_json
21,1833,Ventricular hypertrophy,['DiseaseLabel'],"{""snomed_id"": ""4145489"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Ventricular hypertrophy"", ""source"": ""model_2_alignment""}"
22,1834,Fibrillation,['DiseaseLabel'],"{""snomed_id"": ""4226399"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Fibrillation"", ""source"": ""model_2_alignment""}"
23,1835,Bradyarrhythmia,['DiseaseLabel'],"{""snomed_id"": ""4228448"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Bradyarrhythmia"", ""source"": ""model_2_alignment""}"
24,1836,Acute ischemic heart disease,['DiseaseLabel'],"{""snomed_id"": ""319844"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Acute ischemic heart disease"", ""source"": ""model_2_alignment""}"
25,1837,Structural disorder of heart,['DiseaseLabel'],"{""snomed_id"": ""4027255"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Structural disorder of heart"", ""source"": ""model_2_alignment""}"
26,1838,Myocardial infarction,['DiseaseLabel'],"{""snomed_id"": ""4329847"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Myocardial infarction"", ""source"": ""model_2_alignment""}"
27,1839,Nodal rhythm disorder,['DiseaseLabel'],"{""snomed_id"": ""4217221"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Nodal rhythm disorder"", ""source"": ""model_2_alignment""}"
28,1840,Acute myocardial infarction of inferior wall,['DiseaseLabel'],"{""snomed_id"": ""438170"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Acute myocardial infarction of inferior wall"", ""source"": ""model_2_alignment""}"
29,1841,Acute disease of cardiovascular system,['DiseaseLabel'],"{""snomed_id"": ""4028367"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Acute disease of cardiovascular system"", ""source"": ""model_2_alignment""}"
30,1842,Supraventricular arrhythmia,['DiseaseLabel'],"{""snomed_id"": ""4248028"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Supraventricular arrhythmia"", ""source"": ""model_2_alignment""}"
31,1843,Ventricular arrhythmia,['DiseaseLabel'],"{""snomed_id"": ""4185572"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Ventricular arrhythmia"", ""source"": ""model_2_alignment""}"
32,1844,Acute myocardial infarction of lateral wall,['DiseaseLabel'],"{""snomed_id"": ""436706"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Acute myocardial infarction of lateral wall"", ""source"": ""model_2_alignment""}"
33,1845,Acute disease,['DiseaseLabel'],"{""snomed_id"": ""443883"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Acute disease"", ""source"": ""model_2_alignment""}"
34,1846,Second degree atrioventricular block,['DiseaseLabel'],"{""snomed_id"": ""318448"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Second degree atrioventricular block"", ""source"": ""model_2_alignment""}"
35,1847,Right ventricular abnormality,['DiseaseLabel'],"{""snomed_id"": ""4101621"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Right ventricular abnormality"", ""source"": ""model_2_alignment""}"
36,1848,Acute subendocardial infarction,['DiseaseLabel'],"{""snomed_id"": ""444406"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Acute subendocardial infarction"", ""source"": ""model_2_alignment""}"
37,1849,Heart block,['DiseaseLabel'],"{""snomed_id"": ""320425"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Heart block"", ""source"": ""model_2_alignment""}"
38,1850,Paroxysmal tachycardia,['DiseaseLabel'],"{""snomed_id"": ""313792"", ""updated_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""created_at"": ""2026-01-23T06:24:13.227000000+00:00"", ""label"": ""Paroxysmal tachycardia"", ""source"": ""model_2_alignment""}"
